2025-12-11 23:45:16,551 - ai_recap - WARNING - Сессия 67, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,552 - ai_recap - WARNING - Сессия 70, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,552 - ai_recap - WARNING - Сессия 74, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,552 - ai_recap - WARNING - Сессия 75, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,552 - ai_recap - WARNING - Сессия 76, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,552 - ai_recap - WARNING - Сессия 80, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,553 - ai_recap - WARNING - Сессия 113, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,553 - ai_recap - WARNING - Сессия 152, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,553 - ai_recap - WARNING - Сессия 153, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,553 - ai_recap - WARNING - Сессия 156, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,553 - ai_recap - WARNING - Сессия 158, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,553 - ai_recap - WARNING - Сессия 163, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:45:16,554 - ai_recap - WARNING - Сессия 164, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,554 - ai_recap - WARNING - Сессия 165, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,554 - ai_recap - WARNING - Сессия 166, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,555 - ai_recap - WARNING - Сессия 167, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,555 - ai_recap - WARNING - Сессия 255, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,555 - ai_recap - WARNING - Сессия 256, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,555 - ai_recap - WARNING - Сессия 259, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,556 - ai_recap - WARNING - Сессия 260, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,556 - ai_recap - WARNING - Сессия 261, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,556 - ai_recap - WARNING - Сессия 262, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,556 - ai_recap - WARNING - Сессия 270, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,557 - ai_recap - WARNING - Сессия 271, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,557 - ai_recap - WARNING - Сессия 272, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,557 - ai_recap - WARNING - Сессия 273, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,557 - ai_recap - WARNING - Сессия 277, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:45:16,558 - ai_recap - WARNING - Сессия 299, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,558 - ai_recap - WARNING - Сессия 307, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,558 - ai_recap - WARNING - Сессия 313, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,558 - ai_recap - WARNING - Сессия 320, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,559 - ai_recap - WARNING - Сессия 331, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,559 - ai_recap - WARNING - Сессия 334, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,559 - ai_recap - WARNING - Сессия 338, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,559 - ai_recap - WARNING - Сессия 339, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,560 - ai_recap - WARNING - Сессия 340, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,560 - ai_recap - WARNING - Сессия 341, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,560 - ai_recap - WARNING - Сессия 343, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,560 - ai_recap - WARNING - Сессия 348, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,560 - ai_recap - WARNING - Сессия 349, эпизод 1: отсутствует поле 'duration'
2025-12-11 23:45:16,561 - ai_recap - WARNING - Сессия 350, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,561 - ai_recap - WARNING - Сессия 354, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,561 - ai_recap - WARNING - Сессия 355, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,565 - ai_recap - WARNING - Сессия 356, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,565 - ai_recap - WARNING - Сессия 359, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,566 - ai_recap - WARNING - Сессия 360, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,566 - ai_recap - WARNING - Сессия 365, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,566 - ai_recap - WARNING - Сессия 367, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,566 - ai_recap - WARNING - Сессия 368, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:45:16,567 - ai_recap - WARNING - Сессия 371, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,567 - ai_recap - WARNING - Сессия 372, эпизод 1: отсутствует поле 'duration'
2025-12-11 23:45:16,567 - ai_recap - WARNING - Сессия 378, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,567 - ai_recap - WARNING - Сессия 379, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,567 - ai_recap - WARNING - Сессия 382, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,568 - ai_recap - WARNING - Сессия 383, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,568 - ai_recap - WARNING - Сессия 384, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,568 - ai_recap - WARNING - Сессия 387, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,568 - ai_recap - WARNING - Сессия 389, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,569 - ai_recap - WARNING - Сессия 394, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,569 - ai_recap - WARNING - Сессия 398, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,569 - ai_recap - WARNING - Сессия 401, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,569 - ai_recap - WARNING - Сессия 403, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,570 - ai_recap - WARNING - Сессия 405, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,570 - ai_recap - WARNING - Сессия 407, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,570 - ai_recap - WARNING - Сессия 410, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,570 - ai_recap - WARNING - Сессия 411, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,571 - ai_recap - WARNING - Сессия 413, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,571 - ai_recap - WARNING - Сессия 414, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,571 - ai_recap - WARNING - Сессия 418, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,571 - ai_recap - WARNING - Сессия 420, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,572 - ai_recap - WARNING - Сессия 423, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,572 - ai_recap - WARNING - Сессия 425, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,572 - ai_recap - WARNING - Сессия 427, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,572 - ai_recap - WARNING - Сессия 428, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,572 - ai_recap - WARNING - Сессия 429, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,573 - ai_recap - WARNING - Сессия 430, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,573 - ai_recap - WARNING - Сессия 431, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,573 - ai_recap - WARNING - Сессия 434, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,573 - ai_recap - WARNING - Сессия 435, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,574 - ai_recap - WARNING - Сессия 436, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,574 - ai_recap - WARNING - Сессия 439, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,574 - ai_recap - WARNING - Сессия 441, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,574 - ai_recap - WARNING - Сессия 443, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,575 - ai_recap - WARNING - Сессия 444, эпизод 1: отсутствует поле 'duration'
2025-12-11 23:45:16,577 - ai_recap - WARNING - Сессия 448, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,577 - ai_recap - WARNING - Сессия 449, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,578 - ai_recap - WARNING - Сессия 453, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,578 - ai_recap - WARNING - Сессия 455, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,578 - ai_recap - WARNING - Сессия 456, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,579 - ai_recap - WARNING - Сессия 552, эпизод 1: отсутствует поле 'duration'
2025-12-11 23:45:16,579 - ai_recap - WARNING - Сессия 555, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,579 - ai_recap - WARNING - Сессия 556, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,580 - ai_recap - WARNING - Сессия 560, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,580 - ai_recap - WARNING - Сессия 561, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,580 - ai_recap - WARNING - Сессия 587, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,580 - ai_recap - WARNING - Сессия 590, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,580 - ai_recap - WARNING - Сессия 604, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,581 - ai_recap - WARNING - Сессия 634, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:45:16,581 - ai_recap - WARNING - Сессия 678, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,582 - ai_recap - WARNING - Сессия 763, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,582 - ai_recap - WARNING - Сессия 764, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,583 - ai_recap - WARNING - Сессия 767, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,583 - ai_recap - WARNING - Сессия 772, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,583 - ai_recap - WARNING - Сессия 775, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,584 - ai_recap - WARNING - Сессия 778, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,584 - ai_recap - WARNING - Сессия 779, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,584 - ai_recap - WARNING - Сессия 781, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,584 - ai_recap - WARNING - Сессия 783, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,584 - ai_recap - WARNING - Сессия 786, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,587 - ai_recap - WARNING - Сессия 1155, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:16,588 - ai_recap - INFO - Обработано 36 сессий, 70 эпизодов
2025-12-11 23:45:16,595 - ai_recap - INFO - Отчет за 25-09 готов. Обработка заняла 0.05 секунд
2025-12-11 23:45:22,107 - ai_recap - INFO - Начинаем создание отчета за 25-09
2025-12-11 23:45:22,110 - ai_recap - WARNING - Сессия 13, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,111 - ai_recap - WARNING - Сессия 26, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,111 - ai_recap - WARNING - Сессия 32, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,111 - ai_recap - WARNING - Сессия 37, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:45:22,112 - ai_recap - WARNING - Сессия 48, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,112 - ai_recap - WARNING - Сессия 50, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,112 - ai_recap - WARNING - Сессия 55, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,112 - ai_recap - WARNING - Сессия 56, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,112 - ai_recap - WARNING - Сессия 59, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,112 - ai_recap - WARNING - Сессия 60, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,113 - ai_recap - WARNING - Сессия 67, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,113 - ai_recap - WARNING - Сессия 70, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:45:22,113 - ai_recap - WARNING - Сессия 74, эпизод 0: отсутствует поле 'duration'
